Time,X,Y,Z,Mag
0.1717,-2.87817,0.70533,7.88525,8.423688059
0.1718,-2.79932,0.666145,7.88525,8.393873312
0.1719,-2.83874,0.62696,7.72097,8.250145536
0.172,-2.68104,0.587775,7.76204,8.233026169
0.1721,-2.72046,0.39185,7.72097,8.195598012
0.1722,-2.68104,0.587775,7.84418,8.310512307
0.1723,-2.4839,0.62696,7.92632,8.330029219
0.1724,-2.68104,0.666145,7.88525,8.355171584
0.1725,-2.52333,0.70533,7.92632,8.348127541
0.1726,-2.44447,0.70533,7.92632,8.324630486
0.1727,-2.60218,0.509405,7.88525,8.319134677
0.1728,-2.68104,0.47022,8.09059,8.53620108
0.1729,-2.56275,0.47022,8.17273,8.578013177
0.173,-2.4839,0.587775,7.92632,8.327171633
0.1731,-2.32619,0.7837,7.6799,8.062642843
0.1732,-2.40505,0.62696,7.88525,8.26767875
0.1733,-2.52333,0.54859,8.00845,8.414476614
0.1734,-2.4839,0.62696,8.17273,8.56483238
0.1735,-2.32619,0.47022,8.04952,8.392081923
0.1736,-2.44447,0.54859,7.96739,8.351987068
0.1737,-2.32619,0.666145,7.96739,8.326716789
0.1738,-2.16848,0.744515,8.00845,8.33017884
0.1739,-2.32619,0.62696,8.13166,8.48104552
0.174,-2.08963,0.70533,8.17273,8.46507883
0.1741,-1.93192,0.666145,8.09059,8.344681575
0.1742,-2.12906,0.666145,8.13166,8.432113614
0.1743,-2.20791,0.62696,8.17273,8.48890223
0.1744,-2.24734,0.70533,8.25487,8.584340755
0.1745,-2.24734,0.587775,8.29594,8.615023912
0.1746,-2.20791,0.47022,8.33701,8.637228095
0.1747,-2.32619,0.431035,8.37808,8.70569788
0.1748,-2.28677,0.509405,8.41915,8.739044411
0.1749,-2.08963,0.509405,8.50128,8.76913956
0.175,-2.01078,0.62696,8.29594,8.559143388
0.1751,-1.8925,0.666145,8.33701,8.575024265
0.1752,-1.77421,0.70533,8.2138,8.432782576
0.1753,-2.28677,0.7837,8.50128,8.838284017
0.1754,-1.77421,0.822885,8.37808,8.603324086
0.1755,-1.81364,0.54859,8.2138,8.429516681
0.1756,-1.8925,0.62696,8.29594,8.532130776
0.1757,-2.16848,0.587775,8.50128,8.793153393
0.1758,-2.0502,0.666145,8.66556,8.929669608
0.1759,-1.97135,0.666145,8.62449,8.87196696
0.176,-1.97135,0.587775,8.62449,8.866427016
0.1761,-2.20791,0.62696,8.78877,9.08352484
0.1762,-2.24734,0.70533,9.03518,9.337157229
0.1763,-2.08963,0.54859,8.95304,9.210017903
0.1764,-1.97135,0.666145,8.82984,9.071716729
0.1765,-2.0502,0.666145,8.78877,9.049284354
0.1766,-1.8925,0.54859,8.82984,9.047020596
0.1767,-1.93192,0.666145,8.82984,9.063230024
0.1768,-2.08963,0.62696,8.82984,9.095367327
